"serial","slope","X1","X2","X3","X4"
24048,-0.5,-0.204867875235944,-1.54448600683573,-0.795250278903238,1.4719774405501
24049,-0.491596638655462,-0.183512848156971,-1.50005695010897,-0.74639981095581,1.40413523735006
24050,-0.483193277310924,-0.162118333261007,-1.45485280809541,-0.697478845408969,1.33497547191599
24051,-0.474789915966387,-0.140765379782947,-1.40884426780659,-0.648544207353997,1.26454540135501
24052,-0.466386554621849,-0.11956363600509,-1.36199064362666,-0.599674858887616,1.1929123457066
24053,-0.457983193277311,-0.0986463029538969,-1.31424206647229,-0.550969337866023,1.12016092302876
24054,-0.449579831932773,-0.078165229940094,-1.26554160249013,-0.502543265612826,1.0463903695842
24055,-0.441176470588235,-0.0582861765627667,-1.21582730016856,-0.454526929488129,0.971711942928917
24056,-0.432773109243697,-0.0391842689892333,-1.1650341643495,-0.407062947050912,0.896246405773092
24057,-0.42436974789916,-0.0210396806829777,-1.11309605534267,-0.360304019173155,0.820121588522555
24058,-0.415966386554622,-0.00403356931316552,-1.05994751116443,-0.314410779900219,0.743470028418304
24059,-0.407563025210084,0.0116556976167516,-1.0055254908421,-0.269549751106318,0.666426683172536
24060,-0.399159663865546,0.0387311228197415,-0.94016008142374,-0.0613947003951812,0.619603360068226
24061,-0.390756302521008,0.0501071739031567,-0.892086260032169,-0.0204309842852602,0.558350337125522
24062,-0.382352941176471,0.0596915383782565,-0.842580341231015,0.0189902104472349,0.497104909083313
24063,-0.373949579831933,0.0673663696521988,-0.791603917931253,0.0567068273357185,0.435993998444274
24064,-0.365546218487395,0.0730393596366075,-0.739127346242161,0.0925640792531602,0.375139532777
24065,-0.357142857142857,0.07664520827514,-0.685130479953139,0.126415579526139,0.314657344888322
24066,-0.348739495798319,0.0781466377280893,-0.629603316251607,0.158124327880259,0.254656134476022
24067,-0.340336134453782,0.0775349394681396,-0.572546552694556,0.18756354753004,0.195236489100239
24068,-0.331932773109244,0.0748300475339999,-0.513972056015066,0.214617370865495,0.136489962211659
24069,-0.323529411764706,0.0700801362780396,-0.453903243933854,0.239181372358639,0.0784982058565769
24070,-0.315126050420168,0.063360746047044,-0.392375381753577,0.261162948497177,0.0213321555405765
24071,-0.30672268907563,0.0547734452677895,-0.32943579613356,0.280481545732281,-0.0349487354277446
